V350133562L3C005R00900709474/2,gene=GAK,150,98.000,100,100,7.99e-68, gene=GAK
V350133562L3C005R00900709474/2,gene=IRF2,92,97.826,61,61,3.00e-37, gene=IRF2
V350133562L3C005R00900709474/2,gene=ERN2,92,97.826,61,61,3.00e-37, gene=ERN2
V350133562L3C005R00900709474/2,gene=NUDT3,104,94.231,69,69,3.00e-37, gene=NUDT3
V350133562L3C005R00900709474/2,gene=ZMYND8,92,97.826,61,61,3.00e-37, gene=ZMYND8
V350133562L3C003R01400508316/1,gene=GAK,150,99.333,100,100,3.69e-71, gene=GAK
V350133562L3C003R01400508316/1,gene=GAK,151,87.417,100,100,3.00e-37, gene=GAK
V350133562L3C003R01400508316/1,gene=TNNI3K,54,98.148,36,36,8.58e-18, gene=TNNI3K
V350133562L3C003R01400508316/1,gene=GPD2,69,91.304,46,46,3.09e-17, gene=GPD2
V350133562L3C003R01400508316/1,gene=TRAF3IP1,65,92.308,43,43,3.09e-17, gene=TRAF3IP1
V350133562L3C002R04701292002/2,gene=GAK,150,100.000,100,100,7.94e-73, gene=GAK
V350133562L3C002R04701292002/2,gene=GAK,123,95.935,81,81,6.36e-49, gene=GAK
V350133562L3C002R04701292002/2,XM_021677689.1,45,97.778,30,30,8.64e-13,XM_021677689.1 gene=GAK CDS=94-3982
V350133562L3C004R06800188692/2,gene=GAK,150,99.333,100,100,3.69e-71, gene=GAK
V350133562L3C004R06800188692/2,gene=GAK,149,95.302,99,99,4.84e-60, gene=GAK
V350133562L3C004R06800188692/2,XM_021677689.1,85,97.647,57,57,2.33e-33,XM_021677689.1 gene=GAK CDS=94-3982
V350133562L3C004R06800188693/2,gene=GAK,150,99.333,100,100,3.69e-71, gene=GAK
V350133562L3C004R06800188693/2,gene=GAK,149,95.302,99,99,4.84e-60, gene=GAK
V350133562L3C004R06800188693/2,XM_021677689.1,85,97.647,57,57,2.33e-33,XM_021677689.1 gene=GAK CDS=94-3982
V350133562L3C003R00500628319/2,gene=GAK,150,98.667,100,100,1.72e-69, gene=GAK
V350133562L3C003R00500628319/2,gene=GAK,152,93.421,100,100,1.05e-56, gene=GAK
V350133562L3C003R00500628319/2,XM_021677689.1,100,97.000,67,67,4.98e-40,XM_021677689.1 gene=GAK CDS=94-3982
V350133562L3C003R00500628320/2,gene=GAK,150,98.667,100,100,1.72e-69, gene=GAK
V350133562L3C003R00500628320/2,gene=GAK,152,94.737,100,100,4.84e-60, gene=GAK
V350133562L3C003R00500628320/2,XM_021677689.1,100,97.000,67,67,4.98e-40,XM_021677689.1 gene=GAK CDS=94-3982
V350133562L3C003R01400508316/2,gene=GAK,150,98.667,100,100,1.72e-69, gene=GAK
V350133562L3C003R01400508316/2,gene=GAK,152,93.421,100,100,1.05e-56, gene=GAK
