V350133562L3C005R00900709474/2,Phoca_021967-RA,23,95.652,46,15,5.03e-11,protein Name:"Protein of unknown function" AED:0.23 eAED:1.00 QI:0|0|0|1|0|0|2|0|92
V350133562L3C005R00900709474/2,Phoca_001220-RA,27,88.889,54,18,1.97e-10,protein Name:"Protein of unknown function" AED:0.49 eAED:1.00 QI:0|-1|0|1|-1|0|1|0|60
V350133562L3C005R00900709474/2,Phoca_029515-RA,23,100.000,46,15,2.82e-10,protein Name:"Protein of unknown function" AED:0.22 eAED:0.23 QI:0|-1|0|1|-1|0|1|0|77
V350133562L3C005R00900709474/2,Phoca_004118-RA,23,100.000,46,15,3.40e-10,protein Name:"Protein of unknown function" AED:0.43 eAED:0.43 QI:0|-1|0|1|-1|0|1|0|78
V350133562L3C005R00900709474/2,Phoca_022327-RA,23,100.000,46,15,3.56e-10,protein Name:"Protein of unknown function" AED:0.42 eAED:0.54 QI:0|0|0|1|0|0|2|0|57
V350133562L3C003R01400508316/1,Phoca_027918-RA,25,68.000,50,17,5.61e-06,protein Name:"Protein of unknown function" AED:0.41 eAED:0.41 QI:39|1|1|1|0|0|2|14|32
V350133562L3C001R06000727612/2,Phoca_008796-RA,28,100.000,56,19,9.54e-14,protein Name:"Similar to GAK Cyclin-G-associated kinase (Homo sapiens OX=9606)" AED:0.16 eAED:0.16 QI:556|1|1|1|0|0|30|2465|1211
V350133562L3C001R06000727612/2,Phoca_011994-RA,28,53.571,56,19,9.30e-07,protein Name:"Similar to DNAJC6 Putative tyrosine-protein phosphatase auxilin (Bos taurus OX=9913)" AED:0.17 eAED:0.17 QI:20|1|1|1|0|0|20|2764|900
V350133562L3C001R05001222361/1,Phoca_008796-RA,38,100.000,76,25,8.87e-21,protein Name:"Similar to GAK Cyclin-G-associated kinase (Homo sapiens OX=9606)" AED:0.16 eAED:0.16 QI:556|1|1|1|0|0|30|2465|1211
V350133562L3C001R05001222361/1,Phoca_011994-RA,38,57.895,76,25,8.26e-12,protein Name:"Similar to DNAJC6 Putative tyrosine-protein phosphatase auxilin (Bos taurus OX=9913)" AED:0.17 eAED:0.17 QI:20|1|1|1|0|0|20|2764|900
